Variable;Study;Treatment;Mean;Std Dev;Unit;Original Unit;Notes
pH;Ramos et al. (2024);Manure;8.20;0.20;-;-;-
pH;Ramos et al. (2024);15 days;8.20;0.00;-;-;-
pH;Ramos et al. (2024);30 days;8.10;0.00;-;-;-
pH;Ramos et al. (2024);45 days;8.20;0.00;-;-;-
pH;Ramos et al. (2024);60 days;8.20;0.00;-;-;-
pH;Ramos et al. (2024);120 days;8.30;0.00;-;-;-
pH;Kumar et al. (2023);C1B0;7.53;0.14;-;-;-
pH;Kumar et al. (2023);C1B2;7.12;0.11;-;-;-
pH;Kumar et al. (2023);C1B4;7.15;0.13;-;-;-
pH;Kumar et al. (2023);C1B6;7.47;0.14;-;-;-
pH;Kumar et al. (2023);C2B0;7.30;0.11;-;-;-
pH;Kumar et al. (2023);C2B2;7.34;0.17;-;-;-
pH;Kumar et al. (2023);C2B4;7.41;0.12;-;-;-
pH;Kumar et al. (2023);C2B6;7.36;0.13;-;-;-
pH;Kumar et al. (2023);C3B0;7.83;0.11;-;-;-
pH;Kumar et al. (2023);C3B2;7.45;0.16;-;-;-
pH;Kumar et al. (2023);C3B4;7.36;0.19;-;-;-
pH;Kumar et al. (2023);C3B6;7.48;0.15;-;-;-
pH;Quadar et al. (2022);CH0 (Initial);8.60;0.03;-;-;-
pH;Quadar et al. (2022);CH0 (Final);7.72;0.04;-;-;-
pH;Quadar et al. (2022);CH25 (Initial);8.24;0.00;-;-;-
pH;Quadar et al. (2022);CH25 (Final);7.57;0.02;-;-;-
pH;Quadar et al. (2022);CH50 (Initial);7.85;0.01;-;-;-
pH;Quadar et al. (2022);CH50 (Final);7.26;0.01;-;-;-
pH;Quadar et al. (2022);CH75 (Initial);7.48;0.03;-;-;-
pH;Quadar et al. (2022);CH75 (Final);7.05;0.00;-;-;-
pH;Quadar et al. (2022);CH100 (Initial);7.12;0.00;-;-;-
pH;Quadar et al. (2022);CH100 (Final);7.32;0.00;-;-;-
pH;Srivastava et al. (2020);T1 (Initial);7.48;0.01;-;-;-
pH;Srivastava et al. (2020);T1 (Final);7.19;0.01;-;-;-
pH;Srivastava et al. (2020);T2 (Initial);8.10;0.00;-;-;-
pH;Srivastava et al. (2020);T2 (Final);7.50;0.01;-;-;-
pH;Srivastava et al. (2020);T3 (Initial);7.91;0.01;-;-;-
pH;Srivastava et al. (2020);T3 (Final);7.13;0.01;-;-;-
pH;Srivastava et al. (2020);T4 (Initial);8.20;0.00;-;-;-
pH;Srivastava et al. (2020);T4 (Final);7.28;0.01;-;-;-
pH;Santana et al. (2020);Fresh Grape Marc;4.36;0.04;-;-;-
pH;Santana et al. (2020);15 days;7.72;0.18;-;-;-
pH;Santana et al. (2020);30 days;7.73;0.10;-;-;-
pH;Santana et al. (2020);180 days;7.65;0.21;-;-;-
pH;Santana et al. (2020);360 days;7.51;0.20;-;-;-
pH;Santana et al. (2020);540 days;7.46;0.14;-;-;-
pH;Santana et al. (2020);720 days;7.49;0.10;-;-;-
EC;Ramos et al. (2024);Manure;2.20;0.00;mS/cm;dS/m;1 dS/m = 1 mS/cm
EC;Ramos et al. (2024);15 days;2.30;0.10;mS/cm;dS/m;-
EC;Ramos et al. (2024);30 days;2.30;0.10;mS/cm;dS/m;-
EC;Ramos et al. (2024);45 days;2.40;0.00;mS/cm;dS/m;-
EC;Ramos et al. (2024);60 days;2.40;0.00;mS/cm;dS/m;-
EC;Ramos et al. (2024);120 days;2.70;0.10;mS/cm;dS/m;-
EC;Kumar et al. (2023);C1B0;1.47;0.04;mS/cm;dS/m;-
EC;Kumar et al. (2023);C1B2;1.56;0.06;mS/cm;dS/m;-
EC;Kumar et al. (2023);C1B4;1.67;0.05;mS/cm;dS/m;-
EC;Kumar et al. (2023);C1B6;1.40;0.03;mS/cm;dS/m;-
EC;Kumar et al. (2023);C2B0;1.12;0.03;mS/cm;dS/m;-
EC;Kumar et al. (2023);C2B2;1.43;0.05;mS/cm;dS/m;-
EC;Kumar et al. (2023);C2B4;1.49;0.04;mS/cm;dS/m;-
EC;Kumar et al. (2023);C2B6;1.32;0.05;mS/cm;dS/m;-
EC;Kumar et al. (2023);C3B0;1.39;0.07;mS/cm;dS/m;-
EC;Kumar et al. (2023);C3B2;1.45;0.08;mS/cm;dS/m;-
EC;Kumar et al. (2023);C3B4;1.51;0.11;mS/cm;dS/m;-
EC;Kumar et al. (2023);C3B6;1.25;0.06;mS/cm;dS/m;-
